ano,id_municipio_6,nome_municipio,grupo_renda,tae_creche_capped,tel_creche_capped,tae_pre_capped,tel_pre_capped,Total_mulheres,log_emp_mulher,Total_emp,Total_mulheres_negras,rem_med_mulheres_negras,pib_per_capita
2007,230015,Acarape,Maior Dinamismo Econômico,12.530712530712533,5.896805896805897,100.0,72.24669603524228,435,6.077642243349034,1154,159,824.4590006289309,2917.519443307409
2008,230015,Acarape,Maior Dinamismo Econômico,15.162454873646208,5.054151624548736,100.0,70.10050251256281,499,6.214608098422191,1392,223,809.1360394618835,3305.1078762672214
2009,230015,Acarape,Maior Dinamismo Econômico,16.1217587373168,6.764374295377677,100.0,77.8061224489796,535,6.284134161070802,1484,182,888.5789362637363,3606.002431688744
2010,230015,Acarape,Maior Dinamismo Econômico,14.656144306651631,7.328072153325817,100.0,75.86206896551724,580,6.364750756851911,1638,206,901.2087621359224,4281.001434346069
2011,230015,Acarape,Maior Dinamismo Econômico,18.442153493699887,5.383734249713632,90.75829383886256,62.796208530805686,587,6.376726947898627,1758,229,1004.364170742358,5070.028372452927
2012,230015,Acarape,Maior Dinamismo Econômico,19.911012235817573,6.451612903225806,100.0,68.23529411764706,624,6.437751649736401,1915,290,1178.603613793103,5122.950296688573
2013,230015,Acarape,Maior Dinamismo Econômico,16.461366181410973,9.630459126539751,100.0,70.3225806451613,613,6.419994928147142,2134,305,1240.486432786885,6380.863156579851
2014,230015,Acarape,Maior Dinamismo Econômico,20.610687022900763,11.232279171210468,100.0,71.86147186147186,670,6.508769136971682,2161,268,1218.590458208955,7067.479725128459
2015,230015,Acarape,Maior Dinamismo Econômico,34.46088794926004,18.921775898520085,96.5686274509804,64.2156862745098,589,6.380122536899765,2049,225,1262.162763555556,7289.661100196464
2016,230015,Acarape,Maior Dinamismo Econômico,33.655913978494624,17.741935483870968,100.0,66.81922196796339,609,6.413458957167357,2202,209,1131.176684210526,7791.8747715921545
2017,230015,Acarape,Maior Dinamismo Econômico,35.61030235162374,18.14109742441209,91.1340206185567,58.14432989690722,508,6.2324480165505225,2062,209,1175.306486124402,9071.571057244757
2018,230015,Acarape,Maior Dinamismo Econômico,40.93567251461988,21.98830409356725,93.95833333333331,58.958333333333336,477,6.169610732491456,1891,184,1174.56783423913,8153.711279953243
2019,230015,Acarape,Maior Dinamismo Econômico,37.94326241134752,19.8581560283688,100.0,62.039045553145336,484,6.184148890937483,1894,226,1092.948495575221,9539.08500234443
2007,230020,Acaraú,Maior Dinamismo Econômico,13.782051282051285,7.593688362919132,94.46284902981544,68.4335068622811,1696,7.436617265234227,2957,361,834.6510734072023,3646.566774744355
2008,230020,Acaraú,Maior Dinamismo Econômico,12.987987987987989,8.283283283283284,97.13345864661656,74.71804511278195,1248,7.130098510125578,2626,147,966.497300680272,4156.901413642479
2009,230020,Acaraú,Maior Dinamismo Econômico,26.792255363683932,16.875981161695446,100.0,76.97399527186761,1292,7.164720378771857,2621,144,959.486,4370.9020510291675
2010,230020,Acaraú,Maior Dinamismo Econômico,22.55820176612256,12.443136205512443,95.7034938621341,74.97639282341831,1430,7.266128779556451,2983,210,1080.052993333333,5695.053083352157
2011,230020,Acaraú,Maior Dinamismo Econômico,21.568109820485745,12.565997888067582,100.0,77.22823286965482,1460,7.2868764117507,3146,204,1192.464024019608,6668.407490121972
2012,230020,Acaraú,Maior Dinamismo Econômico,25.81923890063425,12.5,100.0,67.03940362087327,1492,7.30854279753919,3170,239,1255.182179079498,7065.915579119086
2013,230020,Acaraú,Maior Dinamismo Econômico,25.364963503649637,11.235662148070908,96.65071770334929,64.54013822434875,2108,7.653969180478774,4176,259,1294.656756756757,7779.3039227098125
2014,230020,Acaraú,Maior Dinamismo Econômico,25.74539797770288,11.64117189525538,97.25658956428188,65.14254975793438,1884,7.541683099882111,4048,230,1419.037820869565,8628.781886493969
2015,230020,Acaraú,Maior Dinamismo Econômico,28.204476093591047,15.564598168870802,99.16098584163608,67.96014682747771,1627,7.395107546562485,3624,198,1503.391187878788,9002.303545172357
2016,230020,Acaraú,Maior Dinamismo Econômico,27.60612911328812,15.774930921878925,99.012987012987,70.07792207792207,1549,7.346010209913293,3370,198,1582.618444444445,9429.133922061088
2017,230020,Acaraú,Maior Dinamismo Econômico,29.47446703024293,16.435299950421417,96.52669777086574,67.65163297045102,1691,7.433666540166168,3647,359,1347.162969359332,10194.054566793679
2018,230020,Acaraú,Maior Dinamismo Econômico,34.72356935014549,19.180407371483994,93.16770186335404,63.56107660455487,1721,7.451241684987676,3602,370,1439.143139189189,9065.156577201593
2019,230020,Acaraú,Maior Dinamismo Econômico,33.77403846153847,17.764423076923077,93.65951073389915,62.75586620069896,1868,7.533158807455563,3803,459,1341.368387799564,11302.661196341054
2007,230030,Acopiara,Menor Dinamismo Econômico,20.67471371092541,12.534818941504176,77.33012627781119,50.93205051112447,1125,7.026426808699636,1778,83,964.4348614457832,2623.3907562162494
2008,230030,Acopiara,Menor Dinamismo Econômico,20.29256146903206,11.98257080610022,75.35515750463249,56.02223594811612,1126,7.027314514039777,1839,81,962.5948641975308,3182.7077349707833
2009,230030,Acopiara,Menor Dinamismo Econômico,21.116043119847813,12.23842739378567,80.13365735115431,60.87484811664642,1498,7.312553498102598,2447,91,1071.73381978022,3348.042690611216
2010,230030,Acopiara,Menor Dinamismo Econômico,25.137674117265952,16.456106252024618,83.95136778115501,66.80851063829788,1584,7.368339686311381,2720,102,1078.123617647059,4171.266614542611
2011,230030,Acopiara,Menor Dinamismo Econômico,29.14572864321608,14.03685092127303,78.3596214511041,55.83596214511041,1626,7.394493107219038,2786,111,1060.086630630631,4999.125687306922
2012,230030,Acopiara,Menor Dinamismo Econômico,25.673312346974463,13.571178733823016,84.75765306122449,64.34948979591837,1712,7.44600149832412,2991,134,1124.757367164179,5076.359913460053
2013,230030,Acopiara,Menor Dinamismo Econômico,27.37556561085973,13.838612368024132,86.48820905035053,62.77884002549394,1389,7.237059026124737,2624,162,1103.326432098765,5467.746529689904
2014,230030,Acopiara,Menor Dinamismo Econômico,24.911730090231465,16.71243624950961,85.05595786701777,70.90190915075708,1460,7.2868764117507,2704,197,1159.335697461929,6332.287393909608
2015,230030,Acopiara,Menor Dinamismo Econômico,24.03846153846154,14.983974358974358,88.91242937853107,73.30508474576271,1535,7.336936913707618,2856,223,1170.277217488789,6561.193187164769
2016,230030,Acopiara,Menor Dinamismo Econômico,30.057803468208093,14.987613542526836,90.3731343283582,63.88059701492538,1252,7.133295954896068,2402,252,1178.949619047619,7055.3244124592375
2017,230030,Acopiara,Menor Dinamismo Econômico,21.9775654341504,8.309098462816785,97.33009708737865,62.13592233009708,1510,7.32052696227274,2760,269,1221.646777695167,7405.8836705741805
2018,230030,Acopiara,Menor Dinamismo Econômico,26.004228329809724,9.978858350951374,88.66832092638545,56.65839536807279,1453,7.282073658093465,2725,277,1148.460054151624,7213.940034488513
2019,230030,Acopiara,Menor Dinamismo Econômico,26.76357417699872,9.96152201795639,87.6984126984127,57.38095238095238,1566,7.356918242356021,2763,303,1233.486699669967,8523.346231803944
2007,230040,Aiuaba,Menor Dinamismo Econômico,23.8,13.8,100.0,62.227074235807855,328,5.796057750765372,386,5,513.6775,2467.051652229708
2008,230040,Aiuaba,Menor Dinamismo Econômico,26.899383983572893,8.932238193018481,70.90517241379311,36.853448275862064,329,5.799092654460526,386,5,526.9980800000001,3090.6294222605056
2009,230040,Aiuaba,Menor Dinamismo Econômico,34.086021505376344,18.27956989247312,77.8672032193159,47.28370221327968,305,5.723585101952381,364,0,,2935.8217134506485
2010,230040,Aiuaba,Menor Dinamismo Econômico,36.63366336633664,20.68206820682068,80.3088803088803,56.75675675675676,389,5.966146739123692,503,247,700.6519263157894,3188.051595383571
2011,230040,Aiuaba,Menor Dinamismo Econômico,40.753828032979975,27.56183745583039,94.831013916501,73.75745526838966,390,5.968707559985366,535,151,539.5012834437086,4408.2144824631205
2012,230040,Aiuaba,Menor Dinamismo Econômico,40.69767441860465,25.0,100.0,71.71052631578947,440,6.089044875446846,606,8,956.2058,4084.709740102016
2013,230040,Aiuaba,Menor Dinamismo Econômico,43.00126103404792,25.72509457755359,100.0,67.91569086651053,31,3.4657359027997265,70,11,879.6849090909091,4680.469494756911
2014,230040,Aiuaba,Menor Dinamismo Econômico,44.67496542185339,26.41770401106501,90.94922737306842,62.91390728476821,513,6.2422232654551655,716,29,688.6016689655173,5531.2851476943115
